transaction_id,user_id,amount,currency,transaction_date,status
1,90,293.53,GBP,2025-10-22 07:32:34.680889,failed
2,56,222.03,GBP,2025-11-03 07:32:34.680898,completed
3,74,206.35,USD,2025-10-10 07:32:34.680902,completed
4,13,997.01,JPY,2025-10-21 07:32:34.680905,failed
5,23,390.54,JPY,2025-10-31 07:32:34.680908,failed
6,77,177.4,GBP,2025-11-01 07:32:34.680911,pending
7,33,230.28,USD,2025-10-28 07:32:34.680913,pending
8,52,251.9,GBP,2025-10-13 07:32:34.680916,completed
9,11,31.09,JPY,2025-10-31 07:32:34.680918,failed
10,54,76.23,USD,2025-10-20 07:32:34.680921,failed
11,1,953.61,EUR,2025-10-20 07:32:34.680924,completed
12,88,75.44,GBP,2025-10-19 07:32:34.680927,pending
13,93,128.95,JPY,2025-10-17 07:32:34.680929,completed
14,44,419.93,JPY,2025-10-09 07:32:34.680932,failed
15,47,917.55,GBP,2025-10-11 07:32:34.680934,pending
16,52,44.99,GBP,2025-10-24 07:32:34.680937,pending
17,87,907.62,JPY,2025-10-17 07:32:34.680939,completed
18,51,592.49,GBP,2025-10-17 07:32:34.680941,failed
19,77,674.84,USD,2025-10-29 07:32:34.680944,pending
20,73,613.96,GBP,2025-10-18 07:32:34.680946,completed
21,95,175.91,GBP,2025-10-25 07:32:34.680949,completed
22,8,181.76,GBP,2025-10-10 07:32:34.680951,completed
23,38,616.03,JPY,2025-10-16 07:32:34.680954,pending
24,18,461.7,USD,2025-10-09 07:32:34.680956,failed
25,65,790.0,USD,2025-10-22 07:32:34.680958,completed
26,8,591.34,EUR,2025-10-30 07:32:34.680961,completed
27,16,759.44,JPY,2025-10-13 07:32:34.680963,pending
28,60,98.63,EUR,2025-10-25 07:32:34.680966,completed
29,61,569.85,EUR,2025-10-09 07:32:34.680968,completed
30,76,445.29,JPY,2025-10-30 07:32:34.680971,pending
31,23,923.41,GBP,2025-10-08 07:32:34.680973,pending
32,31,975.14,USD,2025-10-22 07:32:34.680975,pending
33,19,572.82,EUR,2025-10-08 07:32:34.680978,completed
34,58,110.89,JPY,2025-11-02 07:32:34.680980,pending
35,86,367.99,JPY,2025-11-05 07:32:34.680983,completed
36,87,230.95,EUR,2025-10-30 07:32:34.680985,pending
37,85,443.93,GBP,2025-10-13 07:32:34.680988,failed
38,18,77.12,GBP,2025-10-30 07:32:34.680990,pending
39,75,353.98,EUR,2025-11-01 07:32:34.680993,failed
40,4,750.58,JPY,2025-10-29 07:32:34.680995,failed
41,57,301.32,GBP,2025-10-19 07:32:34.680997,failed
42,65,924.77,JPY,2025-10-20 07:32:34.681000,failed
43,70,992.83,GBP,2025-10-29 07:32:34.681002,failed
44,67,376.17,JPY,2025-10-17 07:32:34.681005,failed
45,61,549.58,GBP,2025-10-10 07:32:34.681007,completed
46,44,399.5,GBP,2025-10-16 07:32:34.681009,completed
47,88,153.69,GBP,2025-10-15 07:32:34.681012,failed
48,23,738.86,JPY,2025-10-08 07:32:34.681014,pending
49,84,504.07,USD,2025-10-25 07:32:34.681016,completed
50,31,350.08,GBP,2025-10-25 07:32:34.681019,pending
51,29,836.44,JPY,2025-11-03 07:32:34.681021,pending
52,27,613.91,EUR,2025-10-22 07:32:34.681024,completed
53,45,784.07,EUR,2025-10-14 07:32:34.681026,pending
54,67,193.57,USD,2025-10-26 07:32:34.681029,pending
55,53,148.02,GBP,2025-10-21 07:32:34.681031,pending
56,67,186.98,EUR,2025-10-11 07:32:34.681033,completed
57,51,311.75,USD,2025-10-24 07:32:34.681036,failed
58,99,637.23,GBP,2025-10-09 07:32:34.681038,failed
59,99,68.18,USD,2025-10-28 07:32:34.681041,pending
60,41,347.3,GBP,2025-10-08 07:32:34.681043,completed
61,21,398.48,USD,2025-10-13 07:32:34.681046,completed
62,30,822.75,USD,2025-10-24 07:32:34.681048,completed
63,11,51.0,USD,2025-10-25 07:32:34.681050,pending
64,32,213.4,USD,2025-10-23 07:32:34.681053,failed
65,70,773.95,GBP,2025-10-25 07:32:34.681055,failed
66,57,760.23,JPY,2025-10-21 07:32:34.681058,pending
67,92,820.49,EUR,2025-10-15 07:32:34.681060,pending
68,22,232.16,GBP,2025-11-01 07:32:34.681062,pending
69,19,713.57,USD,2025-10-30 07:32:34.681065,failed
70,45,905.78,EUR,2025-10-22 07:32:34.681067,pending
71,14,499.06,JPY,2025-10-27 07:32:34.681070,completed
72,61,715.21,EUR,2025-10-29 07:32:34.681072,pending
73,94,534.0,GBP,2025-11-02 07:32:34.681075,failed
74,17,261.96,JPY,2025-10-17 07:32:34.681077,pending
75,76,570.94,GBP,2025-10-26 07:32:34.681080,pending
76,45,964.93,GBP,2025-11-05 07:32:34.681082,failed
77,37,27.55,EUR,2025-10-27 07:32:34.681085,pending
78,99,559.14,USD,2025-10-17 07:32:34.681087,pending
79,83,350.29,GBP,2025-10-28 07:32:34.681090,pending
80,12,377.68,EUR,2025-11-01 07:32:34.681092,pending
81,88,377.65,JPY,2025-10-09 07:32:34.681095,failed
82,30,512.12,USD,2025-10-09 07:32:34.681097,pending
83,46,399.59,EUR,2025-11-04 07:32:34.681100,failed
84,82,690.03,USD,2025-10-24 07:32:34.681102,completed
85,98,705.31,GBP,2025-10-17 07:32:34.681104,pending
86,87,538.46,JPY,2025-10-30 07:32:34.681107,pending
87,12,356.77,JPY,2025-11-03 07:32:34.681109,failed
88,56,279.19,GBP,2025-10-15 07:32:34.681112,completed
89,65,42.18,JPY,2025-10-27 07:32:34.681114,failed
90,37,908.63,EUR,2025-10-14 07:32:34.681117,pending
91,68,960.88,JPY,2025-10-18 07:32:34.681119,completed
92,43,637.03,JPY,2025-11-03 07:32:34.681121,pending
93,42,741.85,GBP,2025-10-10 07:32:34.681124,pending
94,6,441.81,JPY,2025-10-29 07:32:34.681126,failed
95,64,923.91,GBP,2025-10-23 07:32:34.681129,failed
96,36,619.5,GBP,2025-10-25 07:32:34.681131,failed
97,82,455.23,GBP,2025-10-14 07:32:34.681134,failed
98,16,164.08,USD,2025-10-19 07:32:34.681136,completed
99,25,538.49,EUR,2025-10-30 07:32:34.681138,pending
100,86,766.58,GBP,2025-10-24 07:32:34.681141,failed
101,60,429.35,JPY,2025-10-11 07:32:34.681143,completed
102,38,594.84,GBP,2025-11-04 07:32:34.681146,completed
103,28,225.02,JPY,2025-11-03 07:32:34.681148,completed
104,34,898.51,GBP,2025-10-14 07:32:34.681151,completed
105,98,606.94,JPY,2025-10-12 07:32:34.681153,pending
106,48,377.08,GBP,2025-10-16 07:32:34.681156,pending
107,7,821.78,JPY,2025-10-20 07:32:34.681158,failed
108,55,439.44,EUR,2025-10-11 07:32:34.681160,completed
109,36,360.55,JPY,2025-10-13 07:32:34.681163,pending
110,8,769.82,EUR,2025-10-29 07:32:34.681165,completed
111,79,731.13,USD,2025-10-08 07:32:34.681168,failed
112,29,732.92,GBP,2025-10-18 07:32:34.681170,failed
113,1,831.96,GBP,2025-11-02 07:32:34.681173,completed
114,1,51.01,USD,2025-10-10 07:32:34.681175,pending
115,21,370.08,USD,2025-10-17 07:32:34.681177,completed
116,56,908.74,USD,2025-10-20 07:32:34.681180,pending
117,5,822.06,JPY,2025-10-08 07:32:34.681182,completed
118,67,304.34,JPY,2025-10-18 07:32:34.681185,pending
119,15,749.87,USD,2025-10-27 07:32:34.681187,pending
120,83,846.8,USD,2025-11-03 07:32:34.681189,failed
121,11,131.54,GBP,2025-10-08 07:32:34.681192,pending
122,49,131.52,JPY,2025-10-23 07:32:34.681194,failed
123,79,232.19,GBP,2025-10-18 07:32:34.681197,pending
124,55,780.64,EUR,2025-10-25 07:32:34.681199,pending
125,94,715.57,JPY,2025-10-22 07:32:34.681201,pending
126,80,727.69,EUR,2025-10-27 07:32:34.681204,pending
127,33,264.23,EUR,2025-10-16 07:32:34.681206,failed
128,66,206.04,JPY,2025-10-28 07:32:34.681209,completed
129,29,270.92,EUR,2025-10-23 07:32:34.681211,pending
130,38,833.39,JPY,2025-10-21 07:32:34.681214,completed
131,64,85.35,JPY,2025-10-11 07:32:34.681216,failed
132,26,545.05,EUR,2025-10-16 07:32:34.681218,failed
133,58,937.66,EUR,2025-10-17 07:32:34.681221,pending
134,91,821.58,USD,2025-10-26 07:32:34.681223,failed
135,71,823.62,EUR,2025-10-31 07:32:34.681226,completed
136,34,737.07,JPY,2025-10-15 07:32:34.681228,pending
137,64,55.99,JPY,2025-10-09 07:32:34.681230,failed
138,94,323.7,EUR,2025-10-29 07:32:34.681233,completed
139,5,382.2,JPY,2025-11-01 07:32:34.681235,failed
140,93,974.06,EUR,2025-10-14 07:32:34.681237,failed
141,81,376.02,GBP,2025-10-27 07:32:34.681240,pending
142,53,335.31,USD,2025-10-13 07:32:34.681242,pending
143,96,323.02,GBP,2025-10-26 07:32:34.681245,pending
144,4,696.06,EUR,2025-11-04 07:32:34.681247,failed
145,84,75.86,EUR,2025-10-20 07:32:34.681262,completed
146,96,416.57,JPY,2025-10-20 07:32:34.681265,failed
147,61,148.7,JPY,2025-10-09 07:32:34.681267,completed
148,68,549.74,USD,2025-10-19 07:32:34.681270,pending
149,41,825.37,GBP,2025-10-14 07:32:34.681272,completed
150,47,396.44,USD,2025-10-23 07:32:34.681275,pending
151,11,414.68,JPY,2025-10-23 07:32:34.681277,failed
152,52,703.62,EUR,2025-10-28 07:32:34.681279,completed
153,39,979.39,JPY,2025-10-30 07:32:34.681282,pending
154,73,194.35,GBP,2025-10-27 07:32:34.681284,completed
155,61,292.16,USD,2025-10-19 07:32:34.681286,pending
156,55,354.05,USD,2025-10-15 07:32:34.681293,pending
157,25,376.06,EUR,2025-10-10 07:32:34.681295,failed
158,65,302.11,GBP,2025-11-01 07:32:34.681298,failed
159,72,963.58,JPY,2025-10-29 07:32:34.681300,failed
160,23,793.34,EUR,2025-10-16 07:32:34.681303,pending
161,38,382.19,JPY,2025-10-15 07:32:34.681305,pending
162,3,729.04,USD,2025-10-12 07:32:34.681307,pending
163,94,279.81,EUR,2025-10-24 07:32:34.681310,pending
164,66,884.34,GBP,2025-10-22 07:32:34.681312,completed
165,67,564.29,JPY,2025-10-24 07:32:34.681315,pending
166,29,540.64,GBP,2025-11-04 07:32:34.681317,pending
167,80,346.97,JPY,2025-10-12 07:32:34.681320,completed
168,56,639.28,GBP,2025-10-16 07:32:34.681323,completed
169,13,617.72,EUR,2025-10-20 07:32:34.681325,completed
170,19,581.88,EUR,2025-10-20 07:32:34.681328,completed
171,20,102.07,GBP,2025-10-23 07:32:34.681330,completed
172,71,285.58,USD,2025-10-13 07:32:34.681333,failed
173,57,764.76,GBP,2025-10-26 07:32:34.681335,completed
174,11,264.55,GBP,2025-10-15 07:32:34.681337,pending
175,89,426.29,GBP,2025-10-10 07:32:34.681340,completed
176,2,639.35,EUR,2025-11-02 07:32:34.681342,failed
177,22,931.98,GBP,2025-10-21 07:32:34.681345,pending
178,50,710.33,USD,2025-10-09 07:32:34.681347,completed
179,64,433.51,EUR,2025-10-08 07:32:34.681349,completed
180,24,546.14,USD,2025-10-27 07:32:34.681352,completed
181,46,484.43,EUR,2025-11-02 07:32:34.681354,failed
182,70,367.87,JPY,2025-10-26 07:32:34.681357,failed
183,11,476.33,EUR,2025-10-12 07:32:34.681359,pending
184,53,598.5,GBP,2025-11-01 07:32:34.681362,pending
185,14,156.41,JPY,2025-10-18 07:32:34.681364,pending
186,92,950.62,USD,2025-10-16 07:32:34.681366,completed
187,69,288.56,GBP,2025-10-10 07:32:34.681369,pending
